SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,NativeRegion,CommonNamesFR,CommonNamesSP,CommonNamesEN,Photos,PhotoReferences,Climbing,Acaulescent,Erect,StemSolitary,StemArmed,LeavesArmed,MaxStemHeight_m,MaxStemDia_cm,UnderstoreyCanopy,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeCategorical,FruitShape,FruitColorDescription,MainFruitColors,"Conspicuousness
"
Acanthophoenix crinita,Acanthophoenix,crinita,Areceae,Arecoideae,REU,"Acanthophénix chevelu, Palmiste rouge des hauts, Palmiste boure, Palmiste bourre, Palmiste des bois, Palmiste des hauts, Palmiste rouge",Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/61841572/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/4/45/Palmiste_noir_P1090510.jpg; https://upload.wikimedia.org/wikipedia/commons/b/bf/Palmiste_noir_P1090527.jpg; https://upload.wikimedia.org/wikipedia/commons/c/cf/Acanthophoenix_crinita_201933079.jpg; https://upload.wikimedia.org/wikipedia/commons/e/eb/Palmiste_noir_gaine_foliaire_P1090519.JPG; https://upload.wikimedia.org/wikipedia/commons/f/ff/Flore_des_serres_v16_181a.jpg,"(c) Aurélien Bour, some rights reserved (CC BY-NC), uploaded by Aurélien Bour",false,false,true,true,true,true,10,20,canopy,15,2.3,,,0.65,0.6,0.7,0.5,,,small,,black,black,"cryptic
"
Acanthophoenix rousselii,Acanthophoenix,rousselii,Areceae,Arecoideae,REU,"Acanthophénix de Roussel, Palmiste de Roussel",Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/104609846/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/104610003/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/104610006/large.jpg; https://upload.wikimedia.org/wikipedia/commons/4/41/Palmiste_Roussel_P1090458.JPG; https://upload.wikimedia.org/wikipedia/commons/6/69/Palmiste_roussel_P1090459.JPG,"(c) Christian Grenier, some rights reserved (CC BY-NC), uploaded by Christian Grenier (c) Christian Grenier, some rights reserved (CC BY-NC), uploaded by Christian Grenier (c) Christian Grenier, some rights reserved (CC BY-NC), uploaded by Christian Grenier",false,false,true,true,true,true,25,30,canopy,,3,,,2,,,0.8,,,small,ovoid,black,black,"cryptic
"
Acanthophoenix rubra,Acanthophoenix,rubra,Areceae,Arecoideae,"MAU, REU","Acanthophénix rouge, Palmiste rouge des bas,palmiste bourre palmiste des bois,palmiste épineux palmiste piquant,Palmiste Piquant palmiste rouge,Palmiste Rouge",Sin nombre común,"barbel palm,Mascarene Islands cabbage palm red barbel palm",https://inaturalist-open-data.s3.amazonaws.com/photos/245295000/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/48405166/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/57865813/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/64505724/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/64505729/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/02/Palmier_a_huile_fili%C3%A8re_%2814%29.JPG; https://upload.wikimedia.org/wikipedia/commons/1/18/Acanthophoenix_rubra_habit.jpg; https://upload.wikimedia.org/wikipedia/commons/2/23/Acanthophoenix_rubra_flowers_01.jpg; https://upload.wikimedia.org/wikipedia/commons/2/25/Acanthophoenix_rubra_flowers_02.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4a/Thechipoovu.jpg; https://upload.wikimedia.org/wikipedia/commons/5/59/Acanthophoenix_rubra_flowers_03.jpg; https://upload.wikimedia.org/wikipedia/commons/7/75/Acanthophoenix_rubra_01.jpg,"(c) Sylvain Piry, some rights reserved (CC BY-NC), uploaded by Sylvain Piry (c) CORDENOS Thierry, some rights reserved (CC BY-NC), uploaded by CORDENOS Thierry (c) Jean-Philippe BASUYAUX, some rights reserved (CC BY-NC), uploaded by Jean-Philippe BASUYAUX (c) Sylvain Piry, some rights reserved (CC BY-NC), uploaded by Sylvain Piry (c) Jean-Philippe BASUYAUX, some rights reserved (CC BY-NC), uploaded by Jean-Philippe BASUYAUX",false,false,true,true,true,true,15,18,canopy,20,3.1,3,,1,,,0.7,,,small,ovoid,black,black,"cryptic
"
Acoelorrhaphe wrightii,Acoelorrhaphe,wrightii,Trachycarpeae,Coryphoideae,"BAH, BLZ, CLM, COS, CUB, FLA, GUA, HON, MXG, MXT, NIC, SWC",Pas de nom commun,tasiste,"Everglades palm,paurotis palm saw cabbage palm,silver saw palm",https://inaturalist-open-data.s3.amazonaws.com/photos/112064788/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/119800158/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/228866/large.JPG; https://inaturalist-open-data.s3.amazonaws.com/photos/40625000/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/4144088/large.JPG; https://inaturalist-open-data.s3.amazonaws.com/photos/49451181/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/58242615/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/77220430/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/9222659/large.jpeg; https://static.inaturalist.org/photos/13482198/large.jpg; https://static.inaturalist.org/photos/26972268/large.jpg; https://static.inaturalist.org/photos/55517373/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/07/Acoelorrhaphe_wrightii_-_Mounts_Botanical_Garden_-_Palm_Beach_County%2C_Florida_-_DSC03835.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0b/North_American_trees_-_being_descriptions_and_illustrations_of_the_trees_growing_independently_of_cultivation_in_North_America%2C_north_of_Mexico_and_the_West_Indies_%281908%29_%2820603332439%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/16/Acoelorrhaphe_wrightii_-_Marie_Selby_Botanical_Gardens_-_Sarasota%2C_Florida_-_DSC01584.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1c/Acoelorrhaphe_wrightii_-_Marie_Selby_Botanical_Gardens_-_Sarasota%2C_Florida_-_DSC01438.jpg; https://upload.wikimedia.org/wikipedia/commons/2/24/Paurotis-palms_%288604600360%29.gif; https://upload.wikimedia.org/wikipedia/commons/3/37/Acoelorrhaphe_wrightii_range_map_1.png; https://upload.wikimedia.org/wikipedia/commons/4/41/Acoelorrhaphe_Wrightii_Paurotis_Palm_Everglades_Palm_Madeira_Palm_Cubas_Tique_Papta_Lucayan_National_Park_of_the_Bahamas_in_Grand_Bahama.jpg; https://upload.wikimedia.org/wikipedia/commons/4/42/Aceolorraphe_wrightii_3.jpg; https://upload.wikimedia.org/wikipedia/commons/4/44/City_Botanic_Gardens_Palm_trees_IMG_9301_%283681474106%29.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4b/Aceolorraphe_wrightii_4.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4c/Acoeloraphe.JPG; https://upload.wikimedia.org/wikipedia/commons/5/50/Acoelorrhaphe_wrightii_kz01.jpg; https://upload.wikimedia.org/wikipedia/commons/5/50/Trunksandsprouts.JPG; https://upload.wikimedia.org/wikipedia/commons/5/5a/Fruitcloseup.JPG; https://upload.wikimedia.org/wikipedia/commons/7/76/Acoelorrhaphe_wrightii_-_Everglades_National_Park_-_DSC09325.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7c/Awrightii.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7e/Awrightiileaf.JPG; https://upload.wikimedia.org/wikipedia/commons/8/88/Awrightiistand2.JPG; https://upload.wikimedia.org/wikipedia/commons/8/89/Atlas_of_United_States_trees-_volume_5._Florida_%281361%29_%2820158355119%29.jpg; https://upload.wikimedia.org/wikipedia/commons/9/92/Aceolorraphe_wrightii_2.jpg; https://upload.wikimedia.org/wikipedia/commons/9/92/Paurotispalmfruit.JPG; https://upload.wikimedia.org/wikipedia/commons/9/94/Acoelorrhaphe_wrightii_USGS_range_map.png; https://upload.wikimedia.org/wikipedia/commons/a/a2/Fruitcloseup2.JPG; https://upload.wikimedia.org/wikipedia/commons/a/aa/L78_Map_161_Acoelorrhaphe_wrightii.png; https://upload.wikimedia.org/wikipedia/commons/b/b8/Paurotis-Palms_%285607479444%29.gif; https://upload.wikimedia.org/wikipedia/commons/c/cb/Petiolespines.JPG; https://upload.wikimedia.org/wikipedia/commons/d/d4/Paurotis-Palms_%285606894907%29.gif; https://upload.wikimedia.org/wikipedia/commons/e/e5/Aceolorraphe_wrightii_1.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f2/Acoelorrhaphe_wrightii_range_map_2.png; https://upload.wikimedia.org/wikipedia/commons/f/f9/Acoelorrhaphe_wrightii_-_Marie_Selby_Botanical_Gardens_-_Sarasota%2C_Florida_-_DSC01588.jpg; https://upload.wikimedia.org/wikipedia/commons/f/fc/Awrightiifruit.JPG,"(c) cpar, some rights reserved (CC BY-NC), uploaded by cpar (c) Jay L. Keller, all rights reserved, uploaded by Jay L. Keller (c) Jan Meerman, some rights reserved (CC BY-NC), uploaded by Jan Meerman (c) Jay Keller, all rights reserved, uploaded by Jay Keller (c) Daniel Jonathan, some rights reserved (CC BY-NC), uploaded by Daniel Jonathan (c) Jan Meerman, some rights reserved (CC BY-NC), uploaded by Jan Meerman (c) tomfeild, some rights reserved (CC BY-NC), uploaded by tomfeild (c) 曾云保, some rights reserved (CC BY-NC), uploaded by 曾云保 (c) Pablo L Ruiz, all rights reserved, uploaded by Pablo L Ruiz (c) psweet, some rights reserved (CC BY-SA), uploaded by psweet (c) Kevin Metcalf, some rights reserved (CC BY-NC), uploaded by Kevin Metcalf (c) Jennifer Rycenga, some rights reserved (CC BY-NC), uploaded by Jennifer Rycenga",false,false,true,false,false,true,9.1,15,canopy,25,1.3,0.7,0.65,0.7,,,0.7,0.5,0.9,small,ovoid,orange-brown; becomming black,brown; black,"cryptic
"
Acrocomia aculeata,Acrocomia,aculeata,Cocoseae,Arecoideae,"BLZ, BZC, BZE, BZL, BZN, CLM, COS, CUB, DOM, ELS, FRG, GUA, GUY, HAI, HON, JAM, LEE, MXG, MXS, MXT, NIC, PAN, SUR, TRT, VEN, VNA, WIN","acrocome,gru-gru Palmier dindé,Palmiste espineux","amankayo,corojo corozo,coyol coyol baboso","coyoli palm,gru-gru palm macaw palm,Macaw palm Paraguay palm",https://upload.wikimedia.org/wikipedia/commons/0/04/Acrocomia_aculeata_ac%C3%BAleos.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0f/Tallo_de_Acrocomia_aculeata.jpg; https://upload.wikimedia.org/wikipedia/commons/1/11/Acrocomia_mexicana-fruits-1.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1c/Hotel_Fazenda_Parque_do_Avestruz_-_Esmeraldas_-_MG_-_panoramio_%283%29.jpg; https://upload.wikimedia.org/wikipedia/commons/2/20/Maca%C3%BAba_%283%29_-_23_03_15S_-_49_01_33W_REFON.jpg; https://upload.wikimedia.org/wikipedia/commons/2/20/Mateus_Leme_-_State_of_Minas_Gerais%2C_Brazil_-_panoramio_%281%29.jpg; https://upload.wikimedia.org/wikipedia/commons/2/20/P%C3%B4r_do_sol_Fazenda_Mascaranhas_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/2/2b/Acrocomia_aculeata_showing_spines_at_Mounts_Botanical_Garden_in_West_Palm_Beach%2CFlorida%2C_USA_02.jpg; https://upload.wikimedia.org/wikipedia/commons/3/38/Macauba_250710_REFON_2.JPG; https://upload.wikimedia.org/wikipedia/commons/3/3c/Acrocomia_aculeata_03.JPG; https://upload.wikimedia.org/wikipedia/commons/4/48/Acrocomia_mexicana-spathes-1.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4a/Acrocomia_aculeata_Fruit_Shell_Composition.png; https://upload.wikimedia.org/wikipedia/commons/5/58/Acrocomia_aculeata_02.JPG; https://upload.wikimedia.org/wikipedia/commons/5/59/Mbokaja_palm_tree.jpg; https://upload.wikimedia.org/wikipedia/commons/5/5a/Acrocomia_mexicana03.jpg; https://upload.wikimedia.org/wikipedia/commons/5/5d/Coqueiros_na_estrada_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/5/5f/Acrocomia_aculeata_trunk.jpg; https://upload.wikimedia.org/wikipedia/commons/5/5f/Trilha_Serra_do_Cip%C3%B3_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/6/61/Maca%C3%BAba%28Acrocomia_aculeata%29_na_Lateral_da_Rodovia_Anhanguera_SP-330_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7c/Acrocomia_aculeata_palmeira.jpg; https://upload.wikimedia.org/wikipedia/commons/8/83/Acrocomia_aculeata_showing_spines_at_Mounts_Botanical_Garden_in_West_Palm_Beach%2CFlorida%2C_USA_01.jpg; https://upload.wikimedia.org/wikipedia/commons/9/94/Acrocomia_aculeata%2C_immature_Grugu_Nuts._%2811164009576%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a2/Acrocomia_aculeata_MHNT.BOT.2017.10.1.jpg; https://upload.wikimedia.org/wikipedia/commons/a/aa/Acrocomia_aculeata_-_Naples_Botanical_Garden_-_Naples%2C_Florida_-_DSC09667.jpg; https://upload.wikimedia.org/wikipedia/commons/a/af/Acrocomia_aculeata_estipe.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c6/Macauba_250710_REFON_3.JPG; https://upload.wikimedia.org/wikipedia/commons/d/de/C%C3%A9u_azul_-_panoramio_%283%29.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e5/Vista_del_tallo_de_Acrocomia_aculeata.JPG; https://upload.wikimedia.org/wikipedia/commons/e/e6/Acrocomia_aculeata.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f1/Mbokaja%2C_Cocotero_del_Paraguay.JPG; https://upload.wikimedia.org/wikipedia/commons/f/f4/Maca%C3%BAba_%282%29_-_23_03_15S_-_49_01_33W_REFON.jpg,"(c) Mateo Hernandez Schmidt, some rights reserved (CC BY-NC-SA), uploaded by Mateo Hernandez Schmidt (c) mauroguanandi, some rights reserved (CC BY) (c) Fábio Alves, all rights reserved, uploaded by Fábio Alves (c) Aurelio Molina Hernández., some rights reserved (CC BY-NC), uploaded by Aurelio Molina Hernández. (c) La Mancha en Movimiento, some rights reserved (CC BY-NC), uploaded by La Mancha en Movimiento (c) Aurelio Molina Hernández., some rights reserved (CC BY-NC), uploaded by Aurelio Molina Hernández. (c) Aurelio Molina Hernández., some rights reserved (CC BY-NC), uploaded by Aurelio Molina Hernández. (c) Aurelio Molina Hernández., some rights reserved (CC BY-NC), uploaded by Aurelio Molina Hernández. (c) Miguel González Botello, all rights reserved, uploaded by Miguel González Botello (c) Alexis Chaparro, all rights reserved, uploaded by Alexis Chaparro",false,false,true,true,true,true,12,50,canopy,30,3.5,2.5,,4.25,3.5,5,4.6,3.8,5.4,large,ovoid,yellowish green,green,"cryptic
"
Acrocomia crispa,Acrocomia,crispa,Cocoseae,Arecoideae,CUB,Pas de nom commun,belly-palm,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/30592890/large.jpg; https://upload.wikimedia.org/wikipedia/commons/0/07/Gastrococos_crispa_5zz.jpg; https://upload.wikimedia.org/wikipedia/commons/0/07/Gastrococos_crispa_9zz.jpg; https://upload.wikimedia.org/wikipedia/commons/2/24/Gastrococos_crispa_0zz.jpg; https://upload.wikimedia.org/wikipedia/commons/2/29/Gastrococos_crispa_8zz.jpg; https://upload.wikimedia.org/wikipedia/commons/4/42/Gastrococos_crispa_4zz.jpg; https://upload.wikimedia.org/wikipedia/commons/8/85/Gastrococos_crispa_10zz.jpg; https://upload.wikimedia.org/wikipedia/commons/8/86/Gastrococos_crispa_3zz.jpg; https://upload.wikimedia.org/wikipedia/commons/8/89/Gastrococos_crispa_1zz.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a1/Gastrococos_crispa_11zz.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a5/Gastrococos_crispa_14zz.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a9/Acrocomia_crispa_-_Naples_Botanical_Garden_-_Naples%2C_Florida_-_DSC00010.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c0/Gastrococos_crispa_7zz.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c2/Gastrococos_crispa_12zz.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c8/Gastrococos_crispa_13zz.jpg; https://upload.wikimedia.org/wikipedia/commons/e/ed/Gastrococos_crispa_2zz.jpg,"(c) BOURGADE, some rights reserved (CC BY-NC), uploaded by BOURGADE",false,false,true,true,true,true,18,35,canopy,15,3,,0.65,2.5,,,1.8,,,small,globose,yellow to orange,yellow; orange,"conspicuous
"
Acrocomia emensis,Acrocomia,emensis,Cocoseae,Arecoideae,"BZC, BZL, BZS",Pas de nom commun,Sin nombre común,No Common Name,https://static.inaturalist.org/photos/353442548/large.jpeg; https://static.inaturalist.org/photos/353655785/large.jpeg; https://static.inaturalist.org/photos/353655819/large.jpeg; https://static.inaturalist.org/photos/353865907/large.jpeg; https://static.inaturalist.org/photos/353865985/large.jpeg; https://static.inaturalist.org/photos/353866579/large.jpeg; https://static.inaturalist.org/photos/353866600/large.jpeg; https://static.inaturalist.org/photos/353866693/large.jpeg,"(c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño (c) Javier Carreño, all rights reserved, uploaded by Javier Carreño",false,true,false,true,true,true,0,,understorey,,,,,2,,,2,,,small,,,,"
"
Acrocomia glaucescens,Acrocomia,glaucescens,Cocoseae,Arecoideae,BZC,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,"
"
Acrocomia hassleri,Acrocomia,hassleri,Cocoseae,Arecoideae,"BZC, PAR",Pas de nom commun,Sin nombre común,No Common Name,https://static.inaturalist.org/photos/323965133/large.jpeg; https://static.inaturalist.org/photos/323965016/large.jpeg; https://static.inaturalist.org/photos/323965086/large.jpeg,"(c) Luis Recalde, all rights reserved, uploaded by Luis Recalde (c) Luis Recalde, all rights reserved, uploaded by Luis Recalde (c) Luis Recalde, all rights reserved, uploaded by Luis Recalde",false,true,false,true,true,true,0,,understorey,6,0.9,0.54,0.51,2.25,1.5,3,2.25,1.5,3,small,,brown,brown,"cryptic
"
Acrocomia intumescens,Acrocomia,intumescens,Cocoseae,Arecoideae,BZE,Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/177287080/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/28993881/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/58742146/large.jpg; https://static.inaturalist.org/photos/373962139/large.jpg; https://upload.wikimedia.org/wikipedia/commons/2/21/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%286%29.jpg; https://upload.wikimedia.org/wikipedia/commons/2/23/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%283%29.jpg; https://upload.wikimedia.org/wikipedia/commons/2/24/Lagoa_da_Maraponga.jpg; https://upload.wikimedia.org/wikipedia/commons/3/33/Acrocomia_intumescens_%28cultivo_na_UFC%29.jpg; https://upload.wikimedia.org/wikipedia/commons/3/35/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%285%29.jpg; https://upload.wikimedia.org/wikipedia/commons/3/3b/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o.jpg; https://upload.wikimedia.org/wikipedia/commons/8/85/Maca%C3%BAba-barriguda_na_Lagoa_do_Mondubim.jpg; https://upload.wikimedia.org/wikipedia/commons/9/90/Frutos_da_maca%C3%BAba-barriguda.jpg; https://upload.wikimedia.org/wikipedia/commons/9/97/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%284%29.jpg; https://upload.wikimedia.org/wikipedia/commons/b/b8/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%281%29.jpg; https://upload.wikimedia.org/wikipedia/commons/d/d2/Acrocomia_intumescens%2C_maca%C3%ADba_-_Flickr_-_Tarciso_Le%C3%A3o_%282%29.jpg; https://upload.wikimedia.org/wikipedia/commons/e/ef/Acrocomia_intumescens.jpg; https://upload.wikimedia.org/wikipedia/commons/f/fd/Jazigo_de_Ant%C3%B4nio_Rodrigues_Ferreira.jpg,"(c) charlesavenengo, some rights reserved (CC BY-NC), uploaded by charlesavenengo (c) Marcondes Oliveira, some rights reserved (CC BY-NC), uploaded by Marcondes Oliveira (c) Caio Flat, all rights reserved, uploaded by Caio Flat (c) Célio Moura Neto, some rights reserved (CC BY-NC), uploaded by Célio Moura Neto",false,false,true,true,true,true,,,,,,,,4.6,3.8,5.4,4.6,3.8,5.4,large,,dull yellowish,yellow,"cryptic
"
